time,text,channel_id
2024-04-12 20:54:05,"LONG #SBER from 308 р. stop loss 304 р.  1h TF. По данному активу продолжается восходящий тренд движения, несколько дней находимся в боковику внутри которого наблюдаем формирование локального каскада максимумов на продолжения лонга, торговые обьемы падают, ожидаю увидеть локальное снятие ближайшей ликвидности снизу после чего повышение активности покупателя и импульсный рост с потенциалом к отметке 314  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-12 17:29:14,LONG #ENPG from 529 р. stop loss 510 р.  15m TF. Актив находится в восходящем тренде. Цена сформировала треугольник. Закрепились выше POC. Наблюдаем поджатие к верхней границе. Ожидаю пробой и продолжение движения. Цели в районе 588  Бесплатный терминал для скальпинга здесь.  Открыть график | #Треугольник,-1001280426654
2024-04-12 17:24:54,LONG #GMKN from 166.6 р. stop loss 165.7 р.  15m TF. Актив находится в восходящем тренде. Цена сформировала треугольник. Закрепились выше POC. Ожидаю пробой уровня сопротивления и движение выше. Цели в районе 168.6  По вопросам сотрудничества писать сюда.  Открыть график | #Треугольник,-1001280426654
2024-04-12 14:53:54,"Запустили автоматическую подписку на рассылки отчетов TradersDiaries.com.   Как работает: При добавлении первого API-ключа на аккаунт связанный с Telegram, будет включена автоматическая подписка на рассылку.  Если на аккаунте уже есть подключенные API-ключи, необходимо самостоятельно включить подписку через бота @tradersdiaries_bot.  Если вы не хотите получать отчеты, вы можете отключить их в меню бота. Для этого нажмите на кнопку “Рассылка отчетов” → “Отписаться”.   Обратите внимание Вы получите отчет только если у вас были завершенные трейды. Бот отправляет отчеты за прошедший день каждое утро.",-1001280426654
2024-04-12 13:37:10,"#TRMK крупная заявка на покупку 15к лотов (34 500 000 руб) по цене 230.00 До плотности 10 пунктов (0,287%)  Устанавливайте бесплатный терминал для скальпинга CScalp и следите за плотностями в режиме реального времени.  Как отрабатывать такие ситуации смотрите здесь",-1001280426654
2024-04-12 13:16:15,"LONG #ROSN from 577.55 р. stop loss 576.7 р.  15m TF. Бумага находится в восходящем тренде и сформировала наклонку из каскадных уровней. Жду подход к уровню 577,55 и буду заходить в пробой. Цель снять каскад. Стоп за локальную проторговку.  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойНаклонки",-1001280426654
2024-04-12 12:25:13,"LONG #GMKN from 165.46 р. stop loss 164.3 р.  15m TF. Бумага в игре, заливают объемы и так же сформировалась зона покупателя (165,46-164,42) где был вылет на объемах. Жду подход цены к данной зоне и буду набирать позицию в лонг. Цель взять коррекцию и в идеале взять локальный перехай. Стоп за зону.  Канал с новостями CScalp en/ru.  Открыть график | #ОтскокОтУровня",-1001280426654
2024-04-11 20:45:40,"SHORT #NVTK from 1 276 р. stop loss 1 300 р.  15m TF. Данный актив как на старших ТФ так и более локально уже длительное время находится в нисходящем тренде движения, максимумы не обновляются при этом цена постоянно работает с ближайшей ликвидностью, на  текущих наблюдаем боковик внутри которого снизились торговые обьемы и сформировали уровни в обе стороны, так как я рассматриваю продолжения текущего тренда ожидаю увидеть небольшой закол сверху после чего повышение активности продавца и импульсное снижения с дальнейшим потенциалом движения к отметке 1250 в пробой отмеченных уровней  Сигналы для криптотрейдеров здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-11 20:38:48,"LONG #ROSN from 580 р. stop loss 573 р.  1h TF. По данному активу локально имеем восходящий тренд движения вдоль наклонной без обновления минимумов, активность продавца сильно упала и цену поджали под ранее сформированный часовой уровень в лонг с нескольких касаний, ожидаю увидеть продолжения текущего тренда и движение к ближайшей зоне интереса продавца на отметке 590 после пробоя отмеченного уровня  По вопросам сотрудничества писать сюда.  Открыть график | #ПробойУровня",-1001280426654
2024-04-11 15:41:07,"#LKOH крупная заявка на продажу 22к лотов (173 140 000 руб) по цене 7 870.0 До плотности 39 пунктов (0,229%)  Устанавливайте бесплатный терминал для скальпинга CScalp и следите за плотностями в режиме реального времени.  Как отрабатывать такие ситуации смотрите здесь",-1001280426654
2024-04-11 15:19:14,LONG #LKOH from 7 847 р. stop loss 7 814 р.  15m TF. Бумага находится в восходящем тренде. Закрепились выше наклонки и уровня POC. Стоп за POC. Ожидаю продолжение движения. Цели в районе 7914  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойНаклонки,-1001280426654
2024-04-11 15:16:23,"LONG #NVTK from 1 282 р. stop loss 1 276 р.  15m TF. Цена не обновила минимум, что говорит о силе покупателей. Локально минимумы повышаются. Сформировался хороший уровень с несколькими касаниями, ожидаю пробой и движение выше. Цели в районе 1299.  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-11 13:40:24,"LONG #PLZL from 13 985.5 р. stop loss 13 958.5 р.  1h TF. Бумага находится в восходящем тренде и так же поджимается к хаю 13985,5 (2 подхода). Жду поджатие цены к данному уровню на локальном ТФ М1-М5 и буду заходить в пробой. Цель взять импульс, стоп исходя из вашего РМ.  Discord-сервер CScalp здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-11 10:30:24,"LONG #SIBN from 776 р. stop loss 775.45 р.  1m TF. Бумага в игре и сформировала хай на уровне 776,00 (3 подхода), жду следующий подход к уровню и буду заходить в пробой. Цель взять импульс, стоп исходя из вашего РМ.  Стать автором канала en/ru.  Открыть график | #ПробойУровня",-1001280426654
2024-04-11 10:24:47,"#LSRG крупная заявка на покупку 20к лотов (23 100 000 руб) по цене 1 155.0 До плотности 19 пунктов (0,328%)  Устанавливайте бесплатный терминал для скальпинга CScalp и следите за плотностями в режиме реального времени.  Как отрабатывать такие ситуации смотрите здесь",-1001280426654
2024-04-10 20:45:11,"LONG #YNDX from 4 010 р. stop loss 3 920 р.  1h TF. Данный актив продолжает торговаться в боковику, цена постоянно работает с ближайшей ликвидностью от чего получаем положительную реакцию, сформировали отличный каскад уровней на часовом ТФ постепенное поджатие к которым мы наблюдаем, покупатель всё так же продолжает отлично удерживать цену и откупает каждое падение, ожидаю увидеть продолжения роста в пробой отмеченного каскада с потенциалом к отметке 4150  Discord-сервер CScalp здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-10 17:59:35,"LONG #ENPG from 545 р. stop loss 542.5 р.  15m TF. Бумага находится в восходящем тренде и сформировала хаи на уровнях 549,0 и 545,0 (2 подхода), жду поджатие к данному уровню и буду заходить в пробой. Цель взять импульс, стоп за проторговку, когда нарисует.  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойУровня",-1001280426654
2024-04-10 17:27:54,"#SIBN крупная заявка на покупку 66к лотов (50 589 000 руб) по цене 766.50 До плотности 0 пунктов (0,000%)  Устанавливайте бесплатный терминал для скальпинга CScalp и следите за плотностями в режиме реального времени.  Как отрабатывать такие ситуации смотрите здесь",-1001280426654
2024-04-10 16:39:47,"SHORT #RNFT from 256.1 р. stop loss 257 р.  15m TF. На бумаге падают объемы итак же сформировалась наклонка из каскадных уровней, жду поджатие цены к уровню 256,1 и буду заходить в пробой. Цели на графике, стоп желательно за локальную проторговку на ТФ М1-М5, когда нарисует.  Бесплатный терминал для скальпинга здесь.  Открыть график | #ПробойНаклонки",-1001280426654
2024-04-10 13:09:11,LONG #LKOH from 7 820 р. stop loss 7 786 р.  15m TF. Актив находится в восходящем тренде. Собрали ликвидность снизу на объемах. Цена пробила наклонный уровень. Закрепились выше POC. Ожидаю продолжение движения. Цели в районе 7913  Сигналы для криптотрейдеров здесь.  Открыть график | #ПробойНаклонки,-1001280426654
2024-04-10 13:03:00,SHORT #FIVE from 2 798 р. stop loss 2 848 р.  15m TF. Актив сильно пролился на объемах. Цена сформировала наклонный уровень и закрепилась ниже. Также закрепились ниже POC. Ожидаю продолжение падения. Цели в районе 2663  Discord-сервер CScalp здесь.  Открыть график | #ПробойНаклонки,-1001280426654
2024-04-10 12:49:26,"#RUAL крупная заявка на продажу 58к лотов (23 780 000 руб) по цене 41.000 До плотности 19 пунктов (0,232%)  Устанавливайте бесплатный терминал для скальпинга CScalp и следите за плотностями в режиме реального времени.  Как отрабатывать такие ситуации смотрите здесь",-1001280426654
2024-04-09 20:26:45,"SHORT #AFLT from 49 р. stop loss 50.6 р.  1h TF. Данный актив находится в восходящем тренде движения, перед продолжением роста хотелось бы увидеть локальную коррекцию на снятие ближайшей ликвидности, цена сформировала часовую наклонную и уровень с нескольких касаний на текущих, активность покупателя так же сильно упала, ожидаю увидеть движение к зоне интереса покупателя на отметке 47,2  Канал с новостями CScalp en/ru.  Открыть график | #ПробойНаклонки",-1001280426654
